#Event ID, BagTag UUID, Location(check-in, sorting, staging, loading), Date
# Only bag 3 should be lost.
1, 1, CHECK_IN, 20140417:090000000
2, 2, CHECK_IN, 20140417:090200000
3, 3, CHECK_IN, 20140417:090400000
4, 1, SORTING, 20140417:090900000
5, 2, SORTING, 20140417:091000000
6, 4, CHECK_IN, 20140417:091100000
7, 3, SORTING, 20140417:091500000
# Loose all of them
8, 5, CHECK_IN, 20140417:100400000
9, 5, SORTING, 20140417:101500000
10, 6, CHECK_IN, 20140417:101600000
11, 6, SORTING, 20140417:102700000
12, 7, CHECK_IN, 20140417:102800000
13, 7, SORTING, 20140417:103900000
14, 8, CHECK_IN, 20140417:104000000
15, 8, SORTING, 20140417:105100000
